Sample ID	Project ID	Continent of Geolocation	Country of Geolocation	Country-level Human Development Index	Industrialization	Host Sex	Host Age Category	Host Age Decade	Host Age	Age Detail Level	Total Observed Features	Am Prevalence	Ecm Prevalence	Lichenized Prevalence	Plantpathogens Prevalence	Macrofungi Prevalence	Nonresident Prevalence	Am Abundance	Ecm Abundance	Lichenized Abundance	Plantpathogens Abundance	Macrofungi Abundance	Nonresident Abundance	Am Observed Features	Ecm Observed Features	Lichenized Observed Features	Plantpathogens Observed Features	Macrofungi Observed Features	Nonresident Observed Features
CNS0407808	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	5	False	False	False	False	False	False	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
CNS0407809	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	13	False	False	False	True	False	False	0.0	0.0	0.0	4.0	0.0	0.0	0	0	0	2	0	0
CNS0407810	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	23	False	True	False	True	True	True	0.0	5.0	0.0	2.0	2965.0	2965.0	0	4	0	1	6	6
CNS0407811	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	4	False	False	False	True	False	False	0.0	0.0	0.0	1.0	0.0	0.0	0	0	0	1	0	0
CNS0407812	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	10	False	False	False	True	False	False	0.0	0.0	0.0	6.0	0.0	0.0	0	0	0	1	0	0
CNS0407815	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	7	False	False	False	True	True	True	0.0	0.0	0.0	13.0	2748.0	2748.0	0	0	0	1	1	1
CNS0407816	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	6	False	False	False	True	False	False	0.0	0.0	0.0	25.0	0.0	0.0	0	0	0	1	0	0
CNS0407817	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	18	False	False	False	False	True	True	0.0	0.0	0.0	0.0	7.0	7.0	0	0	0	0	1	1
CNS0407818	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	26	False	False	False	True	False	False	0.0	0.0	0.0	27.0	0.0	0.0	0	0	0	2	0	0
CNS0407819	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	16	False	False	False	True	True	True	0.0	0.0	0.0	230.0	3.0	3.0	0	0	0	4	1	1
CNS0407820	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	8	False	False	False	True	False	False	0.0	0.0	0.0	2861.0	0.0	0.0	0	0	0	1	0	0
CNS0407822	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	14	False	False	False	True	True	True	0.0	0.0	0.0	177.0	2453.0	2475.0	0	0	0	4	1	2
CNS0407823	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	11	False	False	False	True	False	False	0.0	0.0	0.0	46.0	0.0	0.0	0	0	0	1	0	0
CNS0407826	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	17	False	False	False	False	True	True	0.0	0.0	0.0	0.0	90.0	90.0	0	0	0	0	3	3
CNS0407827	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	6	False	False	False	True	False	False	0.0	0.0	0.0	1.0	0.0	0.0	0	0	0	1	0	0
CNS0407829	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	14	False	False	False	True	True	True	0.0	0.0	0.0	308.0	1.0	1.0	0	0	0	3	1	1
CNS0407830	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	19	False	False	False	True	False	True	0.0	0.0	0.0	1.0	0.0	1.0	0	0	0	1	0	1
CNS0407831	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	24	False	False	False	False	True	True	0.0	0.0	0.0	0.0	1.0	1.0	0	0	0	0	1	1
CNS0407832	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	8	False	False	False	True	False	False	0.0	0.0	0.0	13.0	0.0	0.0	0	0	0	1	0	0
CNS0407834	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	26	False	False	False	True	False	False	0.0	0.0	0.0	6.0	0.0	0.0	0	0	0	1	0	0
CNS0407835	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	11	False	False	False	False	False	False	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
CNS0407837	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	6	False	False	False	True	False	False	0.0	0.0	0.0	1.0	0.0	0.0	0	0	0	1	0	0
CNS0407838	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	11	False	False	False	True	False	False	0.0	0.0	0.0	115.0	0.0	0.0	0	0	0	1	0	0
CNS0407839	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	5	False	False	False	False	False	False	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
CNS0407840	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	9	False	False	False	False	False	False	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
CNS0407842	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	1	False	False	False	False	False	False	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
CNS0407846	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	10	False	False	False	True	False	False	0.0	0.0	0.0	25.0	0.0	0.0	0	0	0	1	0	0
CNS0407847	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	5	False	False	False	False	False	False	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
CNS0407848	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	7	False	False	False	True	False	True	0.0	0.0	0.0	84.0	0.0	84.0	0	0	0	1	0	1
CNS0407850	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	19	False	False	False	True	False	False	0.0	0.0	0.0	4.0	0.0	0.0	0	0	0	2	0	0
CNS0407852	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	4	False	False	False	False	False	False	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
CNS0407854	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	14	False	True	False	False	True	True	0.0	2.0	0.0	0.0	2.0	2.0	0	1	0	0	1	1
CNS0407859	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	15	False	False	False	True	False	False	0.0	0.0	0.0	58.0	0.0	0.0	0	0	0	4	0	0
CNS0407860	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	14	False	False	False	False	True	True	0.0	0.0	0.0	0.0	4.0	4.0	0	0	0	0	1	1
CNS0407861	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	7	False	False	False	False	False	False	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
CNS0407862	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	9	False	False	False	False	False	False	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
CNS0407863	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	16	False	False	False	True	True	True	0.0	0.0	0.0	1.0	5.0	6.0	0	0	0	1	1	2
CNS0407864	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	9	False	False	False	True	False	False	0.0	0.0	0.0	20.0	0.0	0.0	0	0	0	1	0	0
CNS0407865	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	15	False	False	False	False	True	True	0.0	0.0	0.0	0.0	10.0	10.0	0	0	0	0	1	1
CNS0407866	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	13	False	False	False	True	False	False	0.0	0.0	0.0	2.0	0.0	0.0	0	0	0	2	0	0
CNS0407867	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	11	False	False	False	True	False	False	0.0	0.0	0.0	31.0	0.0	0.0	0	0	0	1	0	0
CNS0407868	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	5	False	False	False	False	True	True	0.0	0.0	0.0	0.0	106.0	106.0	0	0	0	0	1	1
CNS0407869	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	16	False	False	False	False	True	True	0.0	0.0	0.0	0.0	38.0	38.0	0	0	0	0	2	2
CNS0407871	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	11	False	False	False	False	False	False	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
CNS0407872	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	11	False	False	False	True	False	False	0.0	0.0	0.0	9.0	0.0	0.0	0	0	0	3	0	0
CNS0407874	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	6	False	False	False	False	False	False	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
CNS0407876	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	4	False	False	False	True	False	False	0.0	0.0	0.0	72.0	0.0	0.0	0	0	0	1	0	0
CNS0407877	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	13	False	False	False	False	False	False	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
CNS0407878	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	15	False	False	False	False	False	False	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
CNS0407879	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	14	False	False	False	False	True	True	0.0	0.0	0.0	0.0	812.0	812.0	0	0	0	0	1	1
CNS0407881	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	15	False	False	False	True	True	True	0.0	0.0	0.0	80.0	67.0	67.0	0	0	0	2	1	1
CNS0407884	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	8	False	False	False	False	False	False	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
CNS0407890	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	19	False	False	False	True	True	True	0.0	0.0	0.0	6.0	2.0	2.0	0	0	0	2	1	1
CNS0407891	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	7	False	False	False	True	False	False	0.0	0.0	0.0	9.0	0.0	0.0	0	0	0	1	0	0
CNS0407892	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	88	False	False	False	True	True	True	0.0	0.0	0.0	16.0	3.0	3.0	0	0	0	6	2	2
CNS0407893	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	5	False	False	False	False	False	False	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
CNS0407896	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	9	False	False	False	True	False	False	0.0	0.0	0.0	346.0	0.0	0.0	0	0	0	1	0	0
CNS0407897	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	7	False	False	False	False	False	False	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
CNS0407898	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	6	False	False	False	False	False	False	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
CNS0407901	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	18	False	False	False	True	False	True	0.0	0.0	0.0	127.0	0.0	6.0	0	0	0	3	0	1
CNS0407903	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	30	False	False	False	True	True	True	0.0	0.0	0.0	56.0	92.0	92.0	0	0	0	2	1	1
CNS0407904	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	4	False	False	False	False	False	False	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
CNS0407905	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	11	False	False	False	True	False	False	0.0	0.0	0.0	47.0	0.0	0.0	0	0	0	2	0	0
CNS0407906	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	3	False	False	False	True	False	False	0.0	0.0	0.0	1.0	0.0	0.0	0	0	0	1	0	0
CNS0407907	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	25	False	False	False	True	False	False	0.0	0.0	0.0	66.0	0.0	0.0	0	0	0	8	0	0
CNS0407908	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	15	False	False	False	True	False	False	0.0	0.0	0.0	185.0	0.0	0.0	0	0	0	2	0	0
CNS0407909	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	10	False	False	False	True	False	False	0.0	0.0	0.0	81.0	0.0	0.0	0	0	0	3	0	0
CNS0407910	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	12	False	False	False	True	False	False	0.0	0.0	0.0	28.0	0.0	0.0	0	0	0	2	0	0
CNS0407911	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	5	False	False	False	True	True	True	0.0	0.0	0.0	3.0	7.0	7.0	0	0	0	1	1	1
CNS0407912	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	17	False	False	False	False	False	False	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
CNS0407913	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	15	False	False	False	True	False	True	0.0	0.0	0.0	136.0	0.0	26.0	0	0	0	8	0	1
CNS0407914	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	6	False	False	False	True	False	False	0.0	0.0	0.0	115.0	0.0	0.0	0	0	0	1	0	0
CNS0407915	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	9	False	False	False	True	False	False	0.0	0.0	0.0	109.0	0.0	0.0	0	0	0	1	0	0
CNS0407916	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	10	False	False	False	True	True	True	0.0	0.0	0.0	3.0	4.0	4.0	0	0	0	1	1	1
CNS0407918	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	16	False	False	False	True	False	False	0.0	0.0	0.0	296.0	0.0	0.0	0	0	0	2	0	0
CNS0407919	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	9	False	False	False	True	False	False	0.0	0.0	0.0	6.0	0.0	0.0	0	0	0	2	0	0
CNS0407920	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	3	False	False	False	False	False	False	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
CNS0407921	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	7	False	False	False	False	False	False	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
CNS0407922	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	7	False	False	False	True	False	False	0.0	0.0	0.0	66.0	0.0	0.0	0	0	0	2	0	0
CNS0407923	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	6	False	False	False	True	False	False	0.0	0.0	0.0	428.0	0.0	0.0	0	0	0	1	0	0
CNS0407924	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	7	False	False	False	False	False	False	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
CNS0407927	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	3	False	False	False	True	True	True	0.0	0.0	0.0	2773.0	2773.0	2773.0	0	0	0	2	2	2
CNS0407928	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	16	False	False	False	False	False	False	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
CNS0407929	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	16	False	False	False	True	True	True	0.0	0.0	0.0	38.0	63.0	101.0	0	0	0	2	2	4
CNS0407930	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	10	False	False	False	True	False	True	0.0	0.0	0.0	143.0	0.0	3.0	0	0	0	4	0	1
CNS0407931	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	26	False	False	False	True	True	True	0.0	0.0	0.0	67.0	23.0	23.0	0	0	0	3	1	1
CNS0407932	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	8	False	False	False	True	True	True	0.0	0.0	0.0	10.0	7.0	11.0	0	0	0	2	1	2
CNS0407934	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	25	False	False	False	True	False	False	0.0	0.0	0.0	1.0	0.0	0.0	0	0	0	1	0	0
CNS0407936	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	6	False	False	False	True	False	False	0.0	0.0	0.0	27.0	0.0	0.0	0	0	0	1	0	0
CNS0407937	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	14	False	False	False	False	False	False	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
CNS0407939	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	12	False	False	False	True	False	False	0.0	0.0	0.0	233.0	0.0	0.0	0	0	0	1	0	0
CNS0407940	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	11	False	False	False	True	False	False	0.0	0.0	0.0	42.0	0.0	0.0	0	0	0	1	0	0
CNS0407943	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	5	False	False	False	True	False	False	0.0	0.0	0.0	84.0	0.0	0.0	0	0	0	1	0	0
CNS0407944	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	7	False	False	False	True	False	False	0.0	0.0	0.0	1.0	0.0	0.0	0	0	0	1	0	0
CNS0407946	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	25	False	False	False	True	False	False	0.0	0.0	0.0	67.0	0.0	0.0	0	0	0	2	0	0
CNS0407948	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	12	False	False	False	False	False	False	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
CNS0407949	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	9	False	False	False	True	False	False	0.0	0.0	0.0	2.0	0.0	0.0	0	0	0	1	0	0
CNS0407955	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	10	False	False	False	False	False	False	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
CNS0407956	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	7	False	False	False	True	False	False	0.0	0.0	0.0	20.0	0.0	0.0	0	0	0	2	0	0
CNS0407957	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	5	False	False	False	True	True	True	0.0	0.0	0.0	12.0	12.0	12.0	0	0	0	1	1	1
CNS0407960	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	10	False	False	False	True	False	False	0.0	0.0	0.0	769.0	0.0	0.0	0	0	0	3	0	0
CNS0407962	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	4	False	False	False	False	False	False	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
CNS0407963	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	6	False	False	False	True	False	False	0.0	0.0	0.0	524.0	0.0	0.0	0	0	0	1	0	0
CNS0407964	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	9	False	False	False	True	True	True	0.0	0.0	0.0	6.0	1.0	1.0	0	0	0	1	1	1
CNS0407965	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	19	False	False	False	False	False	False	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
CNS0407966	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	8	False	False	False	False	False	False	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
CNS0407967	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	20	False	False	False	False	False	False	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
CNS0407968	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	14	False	False	False	False	False	False	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
CNS0407970	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	9	False	False	False	False	False	False	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
CNS0407973	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	11	False	False	False	False	False	False	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
CNS0407975	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	3	False	False	False	False	False	False	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
CNS0407976	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	3	False	False	False	False	False	False	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
CNS0407977	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	4	False	False	False	False	False	False	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
CNS0407980	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	11	False	False	False	False	False	False	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
CNS0407981	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	30	False	False	False	False	False	False	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
CNS0407983	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	11	False	False	False	True	False	False	0.0	0.0	0.0	84.0	0.0	0.0	0	0	0	1	0	0
CNS0407985	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	5	False	False	False	True	False	False	0.0	0.0	0.0	2.0	0.0	0.0	0	0	0	1	0	0
CNS0407987	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	6	False	False	False	False	False	False	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
CNS0407989	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	6	False	False	False	False	False	False	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
CNS0407990	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	4	False	False	False	True	False	False	0.0	0.0	0.0	2.0	0.0	0.0	0	0	0	1	0	0
CNS0407991	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	17	False	False	False	True	False	False	0.0	0.0	0.0	13.0	0.0	0.0	0	0	0	1	0	0
CNS0407992	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	2	False	False	False	False	False	False	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
CNS0407993	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	17	False	False	False	True	False	False	0.0	0.0	0.0	13.0	0.0	0.0	0	0	0	2	0	0
CNS0407994	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	7	False	False	False	False	True	True	0.0	0.0	0.0	0.0	300.0	300.0	0	0	0	0	1	1
CNS0407997	CNP0002114	Asia	China	0.788	Industrialized	unknown	unknown	unknown	unknown	L2	6	False	False	False	False	True	True	0.0	0.0	0.0	0.0	140.0	140.0	0	0	0	0	1	1
